job_category,likely_female,likely_male,female_count,male_count,gap_male_minus_female,gap_percent
Administrator,79665.24116147308,101712.41926605503,353.0,109.0,22047.17810458195,21.675994203728337
Custodian,35717.64665198238,38265.47043147208,227.0,394.0,2547.8237794896995,6.658284220110355
Educational Assistant,28461.731855670107,28612.401812865497,1552.0,342.0,150.66995719539045,0.5265896871602093
Office,70700.20778061224,86015.51018404908,392.0,163.0,15315.302403436843,17.805279967143587
Other,58734.85753880266,61690.99173913044,451.0,184.0,2956.1342003277823,4.791840943047628
Secretary/Clerk,32554.891923076924,44185.67272727273,130.0,33.0,11630.780804195805,26.32251606982309
Security,59759.3352,64174.107540983605,25.0,61.0,4414.7723409836035,6.879366944315028
Student Support,83009.36865638765,81630.69457831325,454.0,83.0,-1378.6740780744003,-1.6889162651332765
Teacher,75566.18308169318,74756.1245610561,3709.0,1515.0,-810.0585206370743,-1.083601544881409
Technology,55958.4748275862,57483.43634146342,87.0,82.0,1524.9615138772206,2.6528711763483237
Transportation,34999.58506329114,33917.499341317365,158.0,167.0,-1082.0857219737736,-3.190346408161071
